PROVINCIA_CODIGO,PROVINCIA_CODIGO_OLD,PROVINCIA_NOMBRE
P00,0,ECUADOR
P01,1,AZUAY
P02,2,BOLIVAR
P03,3,CANAR
P04,4,CARCHI
P05,5,COTOPAXI
P06,6,CHIMBORAZO
P07,7,EL ORO
P08,8,ESMERALDAS
P09,9,GUAYAS
P10,10,IMBABURA
P11,11,LOJA
P12,12,LOS RIOS
P13,13,MANABI
P14,14,MORONA SANTIAGO
P15,15,NAPO
P16,16,PASTAZA
P17,17,PICHINCHA
P18,18,TUNGURAHUA
P19,19,ZAMORA CHINCHIPE
P20,20,GALAPAGOS
P21,21,SUCUMBIOS
P22,22,ORELLANA
P23,23,STO DGO TSACHILAS
P24,24,SANTA ELENA
P25,25,VOTO EXTERIOR
P26,26,"EUROPA, ASIA, OCEANIA"
P27,27,NORTE-AMERICA
P28,28,"LATAM, CARIBE, AFRICA"
