ANIO,G_EDAD,present
2018,DE 16 a 18 AÑOS,1.0
2018,MAS DE 18 A MENOS DE 65 AÑOS,1.0
2018,DE 65 AÑOS Y MAS,1.0
2002,DE 18 A MENOS DE 65 AÑOS,1.0
2002,DE 65 AÑOS Y MÁS,1.0
2006,DE 18 A MENOS DE 65 AÑOS,1.0
2006,DE 65 AÑOS Y MÁS,1.0
2007,DE 18 A MENOS DE 65 AÑOS,1.0
2007,DE 65 AÑOS Y MÁS,1.0
2009,DE 16 A MENOS DE 18 AÑOS,1.0
2009,DE 18 A MENOS DE 65 AÑOS,1.0
2009,DE 65 AÑOS Y MÁS,1.0
2013,DE 16 A MENOS DE 18 AÑOS,1.0
2013,DE 18 A MENOS DE 65 AÑOS,1.0
2013,DE 65 AÑOS Y MÁS,1.0
2017,16 A 18 AÑOS,1.0
2017,MÁS DE 18 A 65 AÑOS,1.0
2017,MÁS DE 65 AÑOS,1.0
2021,MENOR A 18 AÑOS,1.0
2021,MAYOR O IGUAL A 18 Y MENOR A 65 AÑOS,1.0
2021,MAYOR O IGUAL  A 65 AÑOS,1.0
2023,MENOR A 18 AÑOS,1.0
2023,MAYOR O IGUAL A 18 Y MENOR A 65 AÑOS,1.0
2023,MAYOR O IGUAL  A 65 AÑOS,1.0
2004,DE 18 A MENOS DE 65 AÑOS,1.0
2004,DE 65 AÑOS Y MÁS,1.0
2009,DE 16 A MENOS DE 18 AÑOS,1.0
2009,DE 18 A MENOS DE 65 AÑOS,1.0
2009,DE 65 AÑOS Y MÁS,1.0
2014,DE 16 A MENOS DE 18 AÑOS,1.0
2014,DE 18 A MENOS DE 65 AÑOS,1.0
2014,DE 65 AÑOS Y MÁS,1.0
2019,MENOR A 18 AÑOS,1.0
2019,MAYOR O IGUAL A 18 Y MENOR A 65 AÑOS,1.0
2019,MAYOR O IGUAL  A 65 AÑOS,1.0
2023s,MENOR A 18 AÑOS,1.0
2023s,MAYOR O IGUAL A 18 Y MENOR A 65 AÑOS,1.0
2023s,MAYOR O IGUAL  A 65 AÑOS,1.0
