ANIO,SEXO,present
2018,HOMBRES,1.0
2018,MUJERES,1.0
2002,HOMBRES,1.0
2002,MUJERES,1.0
2006,HOMBRES,1.0
2006,MUJERES,1.0
2007,HOMBRES,1.0
2007,MUJERES,1.0
2009,HOMBRES,1.0
2009,MUJERES,1.0
2013,HOMBRES,1.0
2013,MUJERES,1.0
2017,HOMBRES,1.0
2017,MUJERES,1.0
2021,FEMENINO,1.0
2021,MASCULINO,1.0
2023,MASCULINO,1.0
2023,FEMENINO,1.0
2004,HOMBRES,1.0
2004,MUJERES,1.0
2009,HOMBRES,1.0
2009,MUJERES,1.0
2014,HOMBRES,1.0
2014,MUJERES,1.0
2019,FEMENINO,1.0
2019,MASCULINO,1.0
2023s,MASCULINO,1.0
2023s,FEMENINO,1.0
